"species","rival","plot","aic"
"PP","None","2","1028.37238571898"
"PP","None","4","1411.25481865226"
"PP","None","8","1308.62919758822"
"PP","None","11","1134.61877900041"
"PP","None","12","1217.59680399013"
"PP","None","14","868.883712547169"
"PP","None","17","1084.33953101007"
"PP","None","22","232.148784493684"
"DM","PP","2","684.127552658195"
"DM","PP","4","913.201680019788"
"DM","PP","8","358.114202308503"
"DM","PP","11","1294.60862432889"
"DM","PP","12","1599.84014463131"
"DM","PP","14","2333.72089969832"
"DM","PP","17","1591.40678095673"
"DM","PP","22","753.730112799229"
"OT","PP","2","517.377438912007"
"OT","PP","4","281.312413219176"
"OT","PP","8","295.882236100562"
"OT","PP","11","339.254959014469"
"OT","PP","12","483.909584437"
"OT","PP","14","292.35360076346"
"OT","PP","17","408.28513951883"
"OT","PP","22","266.793426861841"
"DO","PP","2","256.229498530501"
"DO","PP","4","704.863773303994"
"DO","PP","8","1223.84309470776"
"DO","PP","11","458.500172021112"
"DO","PP","12","636.469191041538"
"DO","PP","14","195.323542417032"
"DO","PP","17","292.516180446713"
"DO","PP","22","error"
"PB","PP","2","1298.78146960523"
"PB","PP","4","575.455382017836"
"PB","PP","8","619.068538138653"
"PB","PP","11","440.246610194331"
"PB","PP","12","249.844534631382"
"PB","PP","14","201.901933082119"
"PB","PP","17","547.787113993989"
"PB","PP","22","1519.79661529632"
"PP","DM","2","1030.35626562687"
"PP","DM","4","1413.10538348075"
"PP","DM","8","1307.62691571086"
"PP","DM","11","1136.08900853931"
"PP","DM","12","1219.53837737547"
"PP","DM","14","865.20857096845"
"PP","DM","17","1084.93237376906"
"PP","DM","22","230.002371247383"
"DM","None","2","682.138527372967"
"DM","None","4","913.685287965489"
"DM","None","8","356.226152523482"
"DM","None","11","1292.64936581557"
"DM","None","12","1598.56947889631"
"DM","None","14","2331.92296756826"
"DM","None","17","1589.41006072139"
"DM","None","22","751.73066922536"
"OT","DM","2","517.088667280245"
"OT","DM","4","280.707582379617"
"OT","DM","8","296.999256492131"
"OT","DM","11","338.372786416494"
"OT","DM","12","483.30324202434"
"OT","DM","14","292.298245412664"
"OT","DM","17","408.302197065101"
"OT","DM","22","269.643758249771"
"DO","DM","2","260.594598197266"
"DO","DM","4","704.721701735999"
"DO","DM","8","1224.13474560682"
"DO","DM","11","463.726067872831"
"DO","DM","12","636.522855424583"
"DO","DM","14","195.304290391084"
"DO","DM","17","286.326893789594"
"DO","DM","22","error"
"PB","DM","2","1299.36828503257"
"PB","DM","4","581.129073890266"
"PB","DM","8","622.796097770436"
"PB","DM","11","440.255822309833"
"PB","DM","12","252.837095412013"
"PB","DM","14","194.529366410142"
"PB","DM","17","549.129623575952"
"PB","DM","22","1523.70778801105"
"PP","OT","2","1028.67071368225"
"PP","OT","4","1412.40627655664"
"PP","OT","8","1310.54179434069"
"PP","OT","11","1134.10573588661"
"PP","OT","12","1213.67223902312"
