"species","rival","plot","aic"
"PP","All","2","1027.60150712241"
"PP","All","4","1408.27786613671"
"PP","All","8","1315.4896921708"
"PP","All","11","1117.40334011845"
"PP","All","12","1209.45501003226"
"PP","All","14","864.89330947156"
"PP","All","17","1096.09707021624"
"PP","All","22","237.028257803559"
"DM","All","2","678.75412966364"
"DM","All","4","907.322510469096"
"DM","All","8","360.412901766499"
"DM","All","11","1301.93793272344"
"DM","All","12","1598.53787203631"
"DM","All","14","2335.06195721161"
"DM","All","17","1577.46360974579"
"DM","All","22","747.557341994227"
"OT","All","2","511.450851841566"
"OT","All","4","278.510181762434"
"OT","All","8","291.470209422966"
"OT","All","11","341.286716379841"
"OT","All","12","480.239840433514"
"OT","All","14","296.006840215274"
"OT","All","17","413.839072568848"
"OT","All","22","271.25742426579"
"DO","All","2","253.068734532928"
"DO","All","4","715.689364441666"
"DO","All","8","1199.33683879073"
"DO","All","11","457.586859426955"
"DO","All","12","644.097385866773"
"DO","All","14","194.656019299364"
"DO","All","17","296.919609353391"
"DO","All","22","error"
"PB","All","2","1311.30668484139"
"PB","All","4","580.61256039055"
"PB","All","8","598.587340341282"
"PB","All","11","415.927917902304"
"PB","All","12","265.262635207757"
"PB","All","14","196.311059590714"
"PB","All","17","554.423780031111"
"PB","All","22","1519.43010385863"
"PP","None","2","1024.11223614178"
"PP","None","4","1410.30784576794"
"PP","None","8","1331.98306585429"
"PP","None","11","1132.0693604587"
"PP","None","12","1220.08873869186"
"PP","None","14","868.754956479343"
"PP","None","17","1097.09715683969"
"PP","None","22","241.504681905132"
"DM","None","2","686.54769872338"
"DM","None","4","911.872522544505"
"DM","None","8","358.378389741916"
"DM","None","11","1312.29160078012"
"DM","None","12","1602.76824782217"
"DM","None","14","2362.09908512173"
"DM","None","17","1590.05040637161"
"DM","None","22","757.988966375929"
"OT","None","2","514.584621012921"
"OT","None","4","279.590409681564"
"OT","None","8","295.204197959146"
"OT","None","11","337.679350574877"
"OT","None","12","480.340697878685"
"OT","None","14","292.2906023204"
"OT","None","17","410.05948340126"
"OT","None","22","267.746685764323"
"DO","None","2","258.516911121947"
"DO","None","4","717.667008411124"
"DO","None","8","1221.06986055167"
"DO","None","11","474.0052933255"
"DO","None","12","661.779876206738"
"DO","None","14","195.299416937949"
"DO","None","17","294.380918908644"
"DO","None","22","error"
"PB","None","2","1322.95844278346"
"PB","None","4","604.095341755632"
"PB","None","8","627.1341719749"
"PB","None","11","440.07731415607"
"PB","None","12","265.471966496051"
"PB","None","14","204.056967376057"
"PB","None","17","550.471107243102"
"PB","None","22","1527.3569574157"
